db_id,entry_id,num
exampleGrp_d4e82,entry_gotʼosi,
exampleGrp_d5e79,entry_ændon,
exampleGrp_d7e112,entry_g0ybyn,
exampleGrp_d8e138,entry_razy_2,
exampleGrp_d15e82,entry_firton,
exampleGrp_d16e79,entry_inælar,
exampleGrp_d17e92,entry_byron,
exampleGrp_d20e142,entry_k0yrd,
exampleGrp_d21e110,entry_ærx,
exampleGrp_d23e101,entry_næwæʒ,
exampleGrp_d29e91,entry_læʒæg,
exampleGrp_d31e115,entry_qūg,
exampleGrp_d32e115,entry_ivar,
exampleGrp_d34e88,entry_adli,
exampleGrp_d35e82,entry_nyridægæn,
exampleGrp_d36e123,entry_7rdyston,
exampleGrp_d37e94,entry_razamynd,
exampleGrp_d38e123,entry_kūsart,
exampleGrp_d42e222,entry_mīzyn,1
exampleGrp_d42e328,entry_mīzyn,2
exampleGrp_d43e110,entry_kʼ0ybyr,
exampleGrp_d44e125,entry_qom_2,
exampleGrp_d48e86,entry_alǧac,
exampleGrp_d50e114,entry_mūsong,
exampleGrp_d51e108,entry_næryn,
exampleGrp_d51e407,entry_næryn,
exampleGrp_d52e139,entry_barz,
exampleGrp_d57e82,entry_kʼæʒīl,
exampleGrp_d59e82,entry_q0yran,
exampleGrp_d60e103,entry_porti,
exampleGrp_d60e217,re_d60e200,
exampleGrp_d61e121,entry_bynʒar,
exampleGrp_d62e82,entry_kʼæbælʒyg,
exampleGrp_d63e97,entry_fæsʒæwīn,
exampleGrp_d69e101,entry_bynʒ,
exampleGrp_d70e106,entry_ræjyn,
exampleGrp_d74e188,entry_fænd,
exampleGrp_d79e92,entry_fændiag,
exampleGrp_d85e84,entry_g0yrko,
exampleGrp_d87e116,entry_æʒællag,
exampleGrp_d88e105,entry_ændīʒyn,
exampleGrp_d91e103,entry_rwajyn,
exampleGrp_d96e99,entry_ævdasarm,
exampleGrp_d98e142,entry_īnnæ,
exampleGrp_d99e95,entry_berinʒun,
exampleGrp_d101e95,entry_goʒy-kʼax,
exampleGrp_d102e148,entry_lopʼo,
exampleGrp_d103e108,entry_gærtam,
exampleGrp_d105e143,entry_ræstmæ,
exampleGrp_d106e106,entry_baryn,
exampleGrp_d106e170,entry_baryn,
exampleGrp_d108e119,entry_razængard,
exampleGrp_d120e94,entry_līvor,
exampleGrp_d121e144,entry_ræz_2,
exampleGrp_d122e101,entry_ægongæj,
exampleGrp_d123e79,entry_dīn,
exampleGrp_d124e82,entry_bylamyq,
exampleGrp_d126e82,entry_fyrt,
exampleGrp_d129e89,entry_dæxī,
exampleGrp_d134e146,entry_mīnævar,
exampleGrp_d137e79,entry_fonʒ,
exampleGrp_d138e82,entry_dællagq0yr,
exampleGrp_d139e81,entry_būlkʼon,
exampleGrp_d143e95,entry_kʼori,
exampleGrp_d146e94,entry_pæskʼu,
exampleGrp_d148e92,entry_mængættæ,
exampleGrp_d149e86,entry_læwærdun,
exampleGrp_d152e108,entry_axær,
exampleGrp_d153e112,entry_awazyn,
exampleGrp_d157e90,entry_ærmkʼūx,
exampleGrp_d158e107,entry_ævzīdun,
exampleGrp_d159e105,entry_fece,
exampleGrp_d160e95,entry_madta,
exampleGrp_d161e85,entry_matara,
exampleGrp_d162e127,entry_fīdīs,
exampleGrp_d167e111,entry_fat,
exampleGrp_d177e92,entry_aldymbyd,
exampleGrp_d178e81,entry_bærdyn,
exampleGrp_d180e84,entry_æpparyn,
exampleGrp_d181e94,entry_ædemonæj,
exampleGrp_d184e74,entry_æmyǵyr,
exampleGrp_d190e143,entry_læxūryn,
exampleGrp_d191e109,entry_artæn,
exampleGrp_d194e126,entry_max,
exampleGrp_d195e82,entry_ʒæbug,
exampleGrp_d196e96,entry_ǵīwyn,
exampleGrp_d199e104,entry_æxxæssyn,
exampleGrp_d205e82,entry_iʒæǧnæ,
exampleGrp_d211e100,entry_bylyzdūx,
exampleGrp_d212e82,entry_gollag,
exampleGrp_d213e97,entry_cam,
exampleGrp_d214e78,entry_cyppūrs,
exampleGrp_d216e114,entry_asqod,
exampleGrp_d218e175,entry_cʼass,
exampleGrp_d219e82,entry_mængvædæg,
exampleGrp_d220e82,entry_bærc,
